_id,rescent_price,release_price,OG,Retro,SP,QS,SB,SE,model_no,last_price,max_price,min_price,benefit
Jordan 13 Retro Alternate History of Flight,200000,247700,0,1,0,0,0,0,414571-103,275000.0,309000.0,205000.0,111.02139685102948
(GS) Jordan 1 Retro High OG Black Toe 2016,550000,156400,1,1,0,0,0,0,575441-125,560000.0,700000.0,530000.0,358.0562659846547
Jordan 1 Retro High OG Yin Yang Black,385000,208600,1,1,0,0,0,0,555088-011,369000.0,369000.0,230000.0,176.89357622243529
(GS) Jordan 11 Retro Low Cherry 2016,195000,156400,0,1,0,0,0,0,528896-102,163000.0,250000.0,163000.0,104.21994884910487
Jordan 1 Retro Low OG Shadow 2015,550000,169500,1,1,0,0,0,0,705329-003,600000.0,600000.0,320000.0,353.98230088495575
Jordan 7 Retro French Blue 2015,223000,247700,0,1,0,0,0,0,304775-107,267000.0,267000.0,150000.0,107.79168348809043
Jordan 3 Retro Sport Blue,280000,221600,0,1,0,0,0,0,136064-007,328000.0,328000.0,200000.0,148.014440433213
(GS) Jordan 1 Low SE Red Quilt,249000,99000,0,0,0,0,0,1,DB3621-600,155000.0,199000.0,155000.0,156.56565656565658
Jordan XXXV Low PF White Black,169000,199000,0,0,0,0,0,0,CW2459-101,159000.0,159000.0,119000.0,79.89949748743719
(W) Jordan 1 Zoom Air CMFT Stadium Green,285000,187300,0,0,0,0,0,0,CT0979-300,290000.0,330000.0,200000.0,154.83182060864922
Jordan XXXV Low PF White Metallic Silver,159000,199000,0,0,0,0,0,0,CW2459-100,159000.0,159000.0,105000.0,79.89949748743719
(W) Jordan MA2 Vast Grey,174000,149000,0,0,0,0,0,0,CW5992-002,160000.0,175000.0,139000.0,107.38255033557047
Jordan 1 Centre Court White University Gold,129000,159000,0,0,0,0,0,0,DJ2756-102,130000.0,130000.0,105000.0,81.76100628930818
(GS) Jordan 1 Mid SE Turf Orange,220000,130300,0,0,0,0,0,1,BQ6931-802,235000.0,360000.0,140000.0,180.35303146584803
Jordan 23 x Titan Retro SP,400000,299000,0,1,1,0,0,0,CZ6222-001,399000.0,426000.0,310000.0,133.44481605351172
Jordan 9 Retro University Blue,250000,229000,0,1,0,0,0,0,CT8019-140,299000.0,299000.0,160000.0,130.56768558951967
Jordan 1 Mid SE Oakland,210000,162900,0,0,0,0,0,1,852542-101,210000.0,249000.0,140000.0,128.9134438305709
(GS) Jordan 3 Retro SE Denim Fire Red,245000,169000,0,1,0,0,0,1,CZ6634-100,190000.0,210000.0,159000.0,112.42603550295857
Jordan 1 Low Quai 54 Sail Brown,145000,143400,0,0,0,0,0,0,CZ4155-100,240000.0,300000.0,160000.0,167.36401673640165
Jordan Delta SP White Vast Grey,174000,159000,0,0,1,0,0,0,CD6109-101,195000.0,206000.0,100000.0,122.64150943396226
Jordan 7 Retro SE Hare 2.0,169000,299000,0,1,0,0,0,1,CT8528-002,162000.0,195000.0,162000.0,54.18060200668896
(GS) Jordan 6 Retro Hare,175000,169000,0,1,0,0,0,0,384665-062,250000.0,250000.0,172000.0,147.92899408284023
(GS) Jordan Delta SP Vachetta Tan,110000,109000,0,0,1,0,0,0,CT1565-200,110000.0,159000.0,79000.0,100.91743119266054
(GS) Jordan 1 Mid Hyper Royal,260000,117300,0,0,0,0,0,0,BQ6931-102,300000.0,365000.0,121000.0,255.7544757033248
(GS) Jordan 1 Low Black Light Smoke Grey,400000,97700,0,0,0,0,0,0,553560-039,400000.0,400000.0,159000.0,409.41658137154553
